Freq,Real,image,Type
2.108953,141.351563,47.269966,bad
3.062671,134.278717,38.898193,bad
4.447683,128.667313,33.083408,bad
6.459029,123.465881,29.110872,bad
9.379953,118.362221,26.458349,bad
13.621789,113.160011,24.562389,bad
19.781881,107.862404,22.977335,bad
28.727713,102.641151,21.347509,bad
41.719059,97.808472,19.55986,bad
60.585392,93.515434,17.747078,bad
87.983528,89.781067,16.121727,bad
127.771744,86.447922,14.758006,bad
185.553131,83.292061,13.670753,bad
269.4646,80.341652,12.886396,bad
391.322815,77.426575,12.033372,bad
568.288208,74.561714,11.201023,bad
825.281433,71.827881,10.238056,bad
1198.493042,69.232643,9.174924,bad
1740.479736,66.891403,7.873849,bad
2527.56543,64.774963,6.354668,bad
3670.589844,62.862923,4.469561,bad
5330.516602,61.254684,2.19143,bad
7741.101563,59.919842,-0.605251,bad
11241.80957,58.655571,-4.010501,bad
16325.61914,57.106262,-8.565555,bad
23708.44727,54.929752,-15.670432,bad
34429.96484,52.749008,-27.111298,bad
50000,52.09053,-44.686241,bad
1,167.277832,73.266342,bad
1.452223,151.466293,58.796997,bad
2.108953,141.475174,47.323338,bad
3.062671,134.416107,38.925625,bad
4.447683,128.721451,33.112041,bad
6.459029,123.521317,29.165751,bad
9.379953,118.413963,26.501465,bad
13.621789,113.199806,24.602875,bad
19.781881,107.887939,23.011538,bad
28.727713,102.661346,21.377136,bad
41.719059,97.826752,19.580019,bad
60.585392,93.523582,17.769665,bad
87.983528,89.792572,16.138048,bad
127.771744,86.463188,14.768624,bad
185.553131,83.296921,13.698761,bad
269.4646,80.354675,12.888205,bad
391.322815,77.425179,12.052906,bad
568.288208,74.554207,11.220947,bad
825.281433,71.836334,10.261212,bad
1198.493042,69.240921,9.189156,bad
1740.479736,66.880974,7.864735,bad
2527.56543,64.756462,6.343878,bad
3670.589844,62.836361,4.473019,bad
5330.516602,61.234612,2.195964,bad
7741.101563,59.90913,-0.58825,bad
11241.80957,58.651138,-3.973902,bad
16325.61914,57.049908,-8.542148,bad
23708.44727,54.865055,-15.671279,bad
34429.96484,52.703327,-27.164789,bad
50000,52.097767,-44.749474,bad
1,167.369995,73.418564,bad
1.452223,151.467163,58.848976,bad
2.108953,141.535873,47.342457,bad
3.062671,134.454208,38.961025,bad
4.447683,128.769897,33.151932,bad
6.459029,123.541199,29.182568,bad
9.379953,118.423569,26.52268,bad
13.621789,113.205078,24.615503,bad
19.781881,107.896278,23.028038,bad
28.727713,102.661659,21.39245,bad
41.719059,97.816635,19.593636,bad
60.585392,93.519646,17.778042,bad
87.983528,89.79171,16.141048,bad
127.771744,86.450462,14.788244,bad
185.553131,83.325089,13.702547,bad
269.4646,80.328682,12.886746,bad
391.322815,77.429764,12.059217,bad
568.288208,74.548271,11.193137,bad
825.281433,71.837059,10.269831,bad
1198.493042,69.225594,9.206275,bad
1740.479736,66.88752,7.87674,bad
2527.56543,64.7351,6.356214,bad
3670.589844,62.813122,4.461216,bad
5330.516602,61.228264,2.189656,bad
7741.101563,59.895252,-0.589728,bad
11241.80957,58.616264,-4.008927,bad
16325.61914,57.029587,-8.589788,bad
23708.44727,54.863312,-15.750724,bad
34429.96484,52.757908,-27.298763,bad
50000,52.264614,-44.855507,bad
1,167.430588,73.356255,bad
1.452223,151.545517,58.920216,bad
2.108953,141.548965,47.364021,bad
3.062671,134.4832,38.983772,bad
4.447683,128.790115,33.161316,bad
6.459029,123.565086,29.186306,bad
9.379953,118.439079,26.530636,bad
13.621789,113.21479,24.629978,bad
19.781881,107.901527,23.036171,bad
28.727713,102.664497,21.396376,bad
41.719059,97.824501,19.598434,bad
60.585392,93.523178,17.781406,bad
87.983528,89.792763,16.142979,bad
127.771744,86.435738,14.820859,bad
185.553131,83.303436,13.7008,bad
269.4646,80.347839,12.875411,bad
391.322815,77.408234,12.062239,bad
568.288208,74.562965,11.222608,bad
825.281433,71.825562,10.262118,bad
